Plot,Code,Dominant,Quarter,Dominant_Species,H,B,L,T,R,O,S,Comments,trt,Replication,year
101,R:M-E:2,0,B,R,,,,,310,,,,1,2,1
101,R:M-E:2,0,C,R,,,,,500,,,,1,2,1
101,R:M-E:2,0,D,R,,,,,376,,,,1,2,1
102,T:M-C:3,0,A,T,,,,21,,,,,0,3,1
102,T:M-C:3,0,B,T,,,,19,,,,,0,3,1
102,T:M-C:3,0,C,T,,,,15,,,,,0,3,1
102,T:M-C:3,0,D,T,,,,17,,,,,0,3,1
103,T:M-C:5,0,A,T,,,,32,,,,,0,5,1
103,T:M-C:5,0,B,T,,,,21,,,,,0,5,1
103,T:M-C:5,0,C,T,,,,21,,,,,0,5,1
103,T:M-C:5,0,D,T,,,,14,,,,,0,5,1
104,B:D-E:5,1,A,B,55,56,0,0,0,0,0,,1,5,1
104,B:D-E:5,1,B,B,,,0,0,2,0,0,,1,5,1
104,B:D-E:5,1,C,B,,,0,0,0,0,0,,1,5,1
104,B:D-E:5,1,D,B,60,18,0,0,0,0,0,,1,5,1
105,O:M-E:2,0,A,O,,,,,,84,,,1,2,1
105,O:M-E:2,0,B,O,,,,,,95,,,1,2,1
105,O:M-E:2,0,C,O,,,,,,133,,,1,2,1
105,O:M-E:2,0,D,O,,,,,,127,,,1,2,1
106,S:D-E:2,1,A,S,,,2,4,2,14,37,,1,2,1
106,S:D-E:2,1,B,S,0,63,1,5,1,21,30,,1,2,1
106,S:D-E:2,1,C,S,9,144,2,3,0,6,10,,1,2,1
106,S:D-E:2,1,D,S,,,0,0,1,6,11,,1,2,1
107,R:D-C:3,1,A,R,5,109,0,0,46,6,3,,0,3,1
107,R:D-C:3,1,B,R,,,0,0,14,39,10,,0,3,1
107,R:D-C:3,1,C,R,,,0,0,25,2,1,,0,3,1
107,R:D-C:3,1,D,R,10,31,0,0,13,9,0,,0,3,1
108,R:D-C:5,1,A,R,,,0,0,8,1,0,,0,5,1
108,R:D-C:5,1,B,R,16,38,0,0,14,0,0,,0,5,1
108,R:D-C:5,1,C,R,35,42,0,0,1,0,0,,0,5,1
108,R:D-C:5,1,D,R,,,0,0,24,0,0,,0,5,1
109,S:D-C:1,1,A,S,17,65,0,1,1,21,0,,0,1,1
109,S:D-C:1,1,B,S,,,0,1,10,20,1,,0,1,1
109,S:D-C:1,1,C,S,,,0,0,0,2,0,,0,1,1
109,S:D-C:1,1,D,S,36,51,0,0,6,0,0,,0,1,1
110,L:M-C:5,0,A,L,,,3,,,,,,0,5,1
110,L:M-C:5,0,B,L,,,2,,,,,,0,5,1
110,L:M-C:5,0,C,L,,,2,,,,,,0,5,1
110,L:M-C:5,0,D,L,,,7,,,,,,0,5,1
111,R:D-L:5,1,A,R,,,0,0,10,1,0,,2,5,1
111,R:D-L:5,1,B,R,5,31,0,0,4,10,1,,2,5,1
111,R:D-L:5,1,C,R,7,47,0,0,5,0,1,,2,5,1
111,R:D-L:5,1,D,R,,,0,0,12,11,0,,2,5,1
112,T:D-E:1,1,A,T,44,40,0,7,1,0,0,,1,1,1
112,T:D-E:1,1,B,T,,,0,6,0,1,1,,1,1,1
112,T:D-E:1,1,C,T,,,0,0,0,0,0,,1,1,1
112,T:D-E:1,1,D,T,39,13,0,0,0,0,0,,1,1,1
113,R:M-C:2,0,A,R,,,,,219,,,,0,2,1
113,R:M-C:2,0,B,R,,,,,247,,,,0,2,1
113,R:M-C:2,0,C,R,,,,,257,,,,0,2,1
113,R:M-C:2,0,D,R,,,,,158,,,,0,2,1
114,S:D-L:5,1,A,S,,,0,0,0,0,0,,2,5,1
114,S:D-L:5,1,B,S,30,26,0,0,0,0,0,,2,5,1
114,S:D-L:5,1,C,S,33,3,0,0,0,0,0,,2,5,1
114,S:D-L:5,1,D,S,,,0,0,0,0,0,,2,5,1
115,L:M-L:4,0,A,L,,,2,,,,,,2,4,1
115,L:M-L:4,0,B,L,,,1,,,,,,2,4,1
115,L:M-L:4,0,C,L,,,1,,,,,,2,4,1
115,L:M-L:4,0,D,L,,,4,,,,,,2,4,1
116,B:M-E:4,0,A,B,,,,,,,,,1,4,1
116,B:M-E:4,0,B,B,,418,,,,,,,1,4,1
116,B:M-E:4,0,C,B,,403,,,,,,,1,4,1
116,B:M-E:4,0,D,B,,,,,,,,,1,4,1
117,L:D-C:3,1,A,L,26,71,0,1,0,0,1,,0,3,1
117,L:D-C:3,1,B,L,,,0,0,0,0,0,,0,3,1
117,L:D-C:3,1,C,L,,,0,0,0,0,0,,0,3,1
117,L:D-C:3,1,D,L,34,26,0,0,0,0,0,,0,3,1
118,H:D-E:1,1,A,H,,,0,0,0,0,4,,1,1,1
118,H:D-E:1,1,B,H,20,20,0,2,0,0,0,,1,1,1
118,H:D-E:1,1,C,H,0,16,0,0,0,0,9,,1,1,1
118,H:D-E:1,1,D,H,,,0,0,0,0,1,,1,1,1
119,H:M-E:2,0,A,H,83,,,,,,,,1,2,1
119,H:M-E:2,0,B,H,78,,,,,,,,1,2,1
119,H:M-E:2,0,C,H,51,,,,,,,,1,2,1
119,H:M-E:2,0,D,H,67,,,,,,,,1,2,1
120,T:D-C:3,1,A,T,26,48,0,0,2,4,6,,0,3,1
120,T:D-C:3,1,B,T,,,0,6,31,12,3,,0,3,1
120,T:D-C:3,1,C,T,,,0,0,1,0,6,,0,3,1
120,T:D-C:3,1,D,T,17,56,0,3,19,6,6,,0,3,1
121,T:M-L:5,0,A,T,,,,9,,,,,2,5,1
121,T:M-L:5,0,B,T,,,,10,,,,,2,5,1
121,T:M-L:5,0,C,T,,,,11,,,,,2,5,1
121,T:M-L:5,0,D,T,,,,13,,,,,2,5,1
122,B:D-C:5,1,A,B,,,0,2,0,0,0,,0,5,1
122,B:D-C:5,1,B,B,35,84,0,0,0,0,0,,0,5,1
122,B:D-C:5,1,C,B,21,74,0,0,0,0,8,,0,5,1
122,B:D-C:5,1,D,B,,,0,0,1,0,1,,0,5,1
123,B:M-L:5,0,A,B,,231,,,,,,,2,5,1
123,B:M-L:5,0,B,B,,,,,,,,,2,5,1
123,B:M-L:5,0,C,B,,,,,,,,,2,5,1
123,B:M-L:5,0,D,B,,300,,,,,,,2,5,1
124,O:M-L:4,0,A,O,,,,,,134,,,2,4,1
124,O:M-L:4,0,B,O,,,,,,136,,,2,4,1
124,O:M-L:4,0,C,O,,,,,,160,,,2,4,1
124,O:M-L:4,0,D,O,,,,,,112,,,2,4,1
125,T:D-C:1,1,A,T,18,41,0,0,4,32,6,,0,1,1
125,T:D-C:1,1,B,T,,,0,2,16,9,34,,0,1,1
125,T:D-C:1,1,C,T,,,1,3,6,4,11,,0,1,1
125,T:D-C:1,1,D,T,16,31,4,2,2,2,26,,0,1,1
126,L:D-E:3,1,A,L,,,0,1,0,0,0,,1,3,1
126,L:D-E:3,1,B,L,44,55,0,0,0,0,0,,1,3,1
126,L:D-E:3,1,C,L,15,45,0,11,9,0,2,,1,3,1
126,L:D-E:3,1,D,L,,,1,0,1,1,2,,1,3,1
127,B:M-C:2,0,A,B,,,,,,,,,0,2,1
127,B:M-C:2,0,B,B,,265,,,,,,,0,2,1
127,B:M-C:2,0,C,B,,435,,,,,,,0,2,1
127,B:M-C:2,0,D,B,,,,,,,,,0,2,1
128,O:M-C:4,0,A,O,,,,,,130,,,0,4,1
128,O:M-C:4,0,B,O,,,,,,98,,,0,4,1
128,O:M-C:4,0,C,O,,,,,,130,,,0,4,1
128,O:M-C:4,0,D,O,,,,,,123,,,0,4,1
129,H:D-E:5,1,A,H,,,0,0,0,1,0,,1,5,1
129,H:D-E:5,1,B,H,0,30,0,0,0,1,1,,1,5,1
129,H:D-E:5,1,C,H,5,20,0,0,0,1,0,,1,5,1
129,H:D-E:5,1,D,H,,,1,0,1,1,2,,1,5,1
130,R:D-E:2,1,A,R,8,41,3,0,16,22,19,,1,2,1
130,R:D-E:2,1,B,R,,,1,1,28,26,6,,1,2,1
130,R:D-E:2,1,C,R,,,0,0,22,3,14,,1,2,1
130,R:D-E:2,1,D,R,8,28,1,4,67,6,7,,1,2,1
131,S:M-L:1,0,A,S,,,,,,,19,,2,1,1
131,S:M-L:1,0,B,S,,,,,,,36,,2,1,1
131,S:M-L:1,0,C,S,,,,,,,20,,2,1,1
131,S:M-L:1,0,D,S,,,,,,,22,,2,1,1
132,T:M-L:3,0,A,T,,,,33,,,,,2,3,1
132,T:M-L:3,0,B,T,,,,27,,,,,2,3,1
132,T:M-L:3,0,C,T,,,,29,,,,,2,3,1
132,T:M-L:3,0,D,T,,,,27,,,,,2,3,1
133,R:M-E:1,0,A,R,,,,,229,,,,1,1,1
133,R:M-E:1,0,B,R,,,,,310,,,,1,1,1
133,R:M-E:1,0,C,R,,,,,269,,,,1,1,1
133,R:M-E:1,0,D,R,,,,,419,,,,1,1,1
134,O:M-C:3,0,A,O,,,,,,212,,,0,3,1
134,O:M-C:3,0,B,O,,,,,,130,,,0,3,1
134,O:M-C:3,0,C,O,,,,,,167,,,0,3,1
134,O:M-C:3,0,D,O,,,,,,108,,,0,3,1
135,B:D-E:4,1,A,B,35,88,0,0,0,3,2,,1,4,1
135,B:D-E:4,1,B,B,45,100,0,0,0,0,0,,1,4,1
135,B:D-E:4,1,C,B,35,91,0,0,2,5,3,,1,4,1
135,B:D-E:4,1,D,B,50,63,0,0,0,3,0,,1,4,1
136,R:M-E:5,0,A,R,,,,,254,,,,1,5,1
136,R:M-E:5,0,B,R,,,,,247,,,,1,5,1
136,R:M-E:5,0,C,R,,,,,269,,,,1,5,1
136,R:M-E:5,0,D,R,,,,,103,,,,1,5,1
137,L:D-L:2,1,A,L,47,12,0,4,4,3,3,,2,2,1
137,L:D-L:2,1,B,L,,,0,0,5,3,0,,2,2,1
137,L:D-L:2,1,C,L,,,0,2,0,1,0,,2,2,1
137,L:D-L:2,1,D,L,10,40,0,10,2,8,2,,2,2,1
138,H:M-L:5,0,A,H,21,,,,,,,,2,5,1
138,H:M-L:5,0,B,H,29,,,,,,,,2,5,1
138,H:M-L:5,0,C,H,22,,,,,,,,2,5,1
138,H:M-L:5,0,D,H,17,,,,,,,,2,5,1
139,B:M-E:3,0,A,B,,227,,,,,,,1,3,1
139,B:M-E:3,0,B,B,,,,,,,,,1,3,1
139,B:M-E:3,0,C,B,,,,,,,,,1,3,1
139,B:M-E:3,0,D,B,,222,,,,,,,1,3,1
140,L:M-E:2,0,A,L,,,3,,,,,,1,2,1
140,L:M-E:2,0,B,L,,,17,,,,,,1,2,1
140,L:M-E:2,0,C,L,,,8,,,,,,1,2,1
140,L:M-E:2,0,D,L,,,17,,,,,,1,2,1
141,S:D-C:2,1,A,S,,,0,0,7,1,0,,0,2,1
141,S:D-C:2,1,B,S,11,19,1,7,1,4,11,,0,2,1
141,S:D-C:2,1,C,S,18,124,0,4,2,0,1,,0,2,1
141,S:D-C:2,1,D,S,,,16,1,0,3,3,,0,2,1
142,O:D-L:3,1,A,O,9,17,0,0,0,0,0,Litter,2,3,1
142,O:D-L:3,1,B,O,,,0,0,0,0,0,,2,3,1
142,O:D-L:3,1,C,O,,,0,0,0,0,0,,2,3,1
142,O:D-L:3,1,D,O,9,21,0,0,0,0,0,Litter,2,3,1
143,B:M-E:1,0,A,B,,,,,,,,,1,1,1
143,B:M-E:1,0,B,B,,518,,,,,,,1,1,1
143,B:M-E:1,0,C,B,,372,,,,,,,1,1,1
143,B:M-E:1,0,D,B,,,,,,,,,1,1,1
144,L:M-E:3,0,A,L,,,2,,,,,,1,3,1
144,L:M-E:3,0,B,L,,,4,,,,,,1,3,1
144,L:M-E:3,0,C,L,,,6,,,,,,1,3,1
144,L:M-E:3,0,D,L,,,8,,,,,,1,3,1
145,B:D-L:1,1,A,B,,,0,0,0,0,0,,2,1,1
145,B:D-L:1,1,B,B,38,12,0,0,0,0,0,,2,1,1
145,B:D-L:1,1,C,B,59,28,0,0,0,0,0,,2,1,1
145,B:D-L:1,1,D,B,,,0,0,0,0,0,,2,1,1
146,L:M-L:3,0,A,L,,,7,,,,,,2,3,1
146,L:M-L:3,0,B,L,,,0,,,,,,2,3,1
146,L:M-L:3,0,C,L,,,12,,,,,,2,3,1
146,L:M-L:3,0,D,L,,,9,,,,,,2,3,1
147,S:D-C:3,1,A,S,18,0,0,0,0,0,0,Hordeum litter,0,3,1
147,S:D-C:3,1,B,S,,,0,0,0,0,0,,0,3,1
147,S:D-C:3,1,C,S,,,0,0,0,0,0,,0,3,1
147,S:D-C:3,1,D,S,39,14,0,0,0,0,0,,0,3,1
148,R:M-C:1,0,A,R,,,,,203,,,,0,1,1
148,R:M-C:1,0,B,R,,,,,197,,,,0,1,1
148,R:M-C:1,0,C,R,,,,,217,,,,0,1,1
148,R:M-C:1,0,D,R,,,,,487,,,,0,1,1
149,O:M-E:1,0,A,O,,,,,,122,,,1,1,1
149,O:M-E:1,0,B,O,,,,,,92,,,1,1,1
149,O:M-E:1,0,C,O,,,,,,137,,,1,1,1
149,O:M-E:3,0,D,O,,,,,,175,,,1,3,1
150,O:M-E:3,0,A,O,,,,,,270,,,1,3,1
150,O:M-E:3,0,B,O,,,,,,134,,,1,3,1
150,O:M-E:3,0,C,O,,,,,,159,,,1,3,1
150,O:M-E:3,0,D,O,,,,,,168,,,1,3,1
151,B:M-E:2,0,A,B,,154,,,,,,,1,2,1
151,B:M-E:2,0,B,B,,,,,,,,,1,2,1
151,B:M-E:2,0,C,B,,,,,,,,,1,2,1
151,B:M-E:2,0,D,B,,456,,,,,,,1,2,1
152,L:D-L:1,1,A,L,,,0,0,0,1,1,,2,1,1
152,L:D-L:1,1,B,L,28,38,0,0,0,0,0,,2,1,1
152,L:D-L:1,1,C,L,56,14,2,0,1,4,9,,2,1,1
152,L:D-L:1,1,D,L,,,0,0,0,10,7,,2,1,1
153,R:M-L:4,0,A,R,,,,,102,,,,2,4,1
153,R:M-L:4,0,B,R,,,,,97,,,,2,4,1
153,R:M-L:4,0,C,R,,,,,133,,,,2,4,1
153,R:M-L:4,0,D,R,,,,,142,,,,2,4,1
154,S:M-C:3,0,A,S,,,,,,,2,,0,3,1
154,S:M-C:3,0,B,S,,,,,,,0,,0,3,1
154,S:M-C:3,0,C,S,,,,,,,3,,0,3,1
154,S:M-C:3,0,D,S,,,,,,,3,,0,3,1
155,O:M-L:1,0,A,O,,,,,,132,,,2,1,1
155,O:M-L:1,0,B,O,,,,,,141,,,2,1,1
155,O:M-L:1,0,C,O,,,,,,107,,,2,1,1
155,O:M-L:1,0,D,O,,,,,,105,,,2,1,1
156,H:D-L:3,1,A,H,14,5,0,0,0,0,0,,2,3,1
156,H:D-L:3,1,B,H,,,0,0,0,0,0,,2,3,1
156,H:D-L:3,1,C,H,,,0,0,0,0,0,,2,3,1
156,H:D-L:3,1,D,H,11,0,0,0,0,0,0,,2,3,1
157,S:M-C:4,0,A,S,,,,,,,8,,0,4,1
157,S:M-C:4,0,B,S,,,,,,,30,,0,4,1
157,S:M-C:4,0,C,S,,,,,,,10,,0,4,1
157,S:M-C:4,0,D,S,,,,,,,14,,0,4,1
158,S:D-L:3,1,A,S,,,0,6,0,1,0,,2,3,1
158,S:D-L:3,1,B,S,41,17,0,2,0,3,1,,2,3,1
158,S:D-L:3,1,C,S,26,12,0,3,0,0,0,,2,3,1
158,S:D-L:3,1,D,S,,,0,1,0,3,0,,2,3,1
159,T:M-E:2,0,A,T,,,,14,,,,,1,2,1
159,T:M-E:2,0,B,T,,,,18,,,,,1,2,1
159,T:M-E:2,0,C,T,,,,10,,,,,1,2,1
159,T:M-E:2,0,D,T,,,,12,,,,,1,2,1
160,O:M-L:2,0,A,O,,,,,,151,,,2,2,1
160,O:M-L:2,0,B,O,,,,,,118,,,2,2,1
160,O:M-L:2,0,C,O,,,,,,110,,,2,2,1
160,O:M-L:2,0,D,O,,,,,,134,,,2,2,1
161,L:M-L:5,0,A,L,,,7,,,,,,2,5,1
161,L:M-L:5,0,B,L,,,9,,,,,,2,5,1
161,L:M-L:5,0,C,L,,,6,,,,,,2,5,1
161,L:M-L:5,0,D,L,,,8,,,,,,2,5,1
162,L:M-L:2,0,A,L,,,7,,,,,,2,2,1
162,L:M-L:2,0,B,L,,,4,,,,,,2,2,1
162,L:M-L:2,0,C,L,,,8,,,,,,2,2,1
162,L:M-L:2,0,D,L,,,2,,,,,,2,2,1
163,S:M-C:1,0,A,S,,,,,,,0,,0,1,1
163,S:M-C:1,0,B,S,,,,,,,26,,0,1,1
163,S:M-C:1,0,C,S,,,,,,,14,,0,1,1
163,S:M-C:1,0,D,S,,,,,,,12,,0,1,1
164,S:D-E:3,1,A,S,19,60,1,2,0,0,3,,1,3,1
164,S:D-E:3,1,B,S,,,0,1,3,2,2,,1,3,1
164,S:D-E:3,1,C,S,,,1,0,1,0,1,,1,3,1
164,S:D-E:3,1,D,S,19,84,0,0,0,1,3,,1,3,1
165,B:M-E:5,0,A,B,,,,,,,,,1,5,1
165,B:M-E:5,0,B,B,,172,,,,,,,1,5,1
165,B:M-E:5,0,C,B,,229,,,,,,,1,5,1
165,B:M-E:5,0,D,B,,,,,,,,,1,5,1
166,L:D-E:1,1,A,L,24,44,0,2,12,3,7,,1,1,1
166,L:D-E:1,1,B,L,,,0,0,0,0,15,,1,1,1
166,L:D-E:1,1,C,L,,,1,0,22,0,12,,1,1,1
166,L:D-E:1,1,D,L,16,25,6,0,0,0,16,,1,1,1
167,L:M-E:1,0,A,L,,,7,,,,,,1,1,1
167,L:M-E:1,0,B,L,,,4,,,,,,1,1,1
167,L:M-E:1,0,C,L,,,1,,,,,,1,1,1
167,L:M-E:1,0,D,L,,,6,,,,,,1,1,1
168,S:M-L:2,0,A,S,,,,,,,12,,2,2,1
168,S:M-L:2,0,B,S,,,,,,,13,,2,2,1
168,S:M-L:2,0,C,S,,,,,,,10,,2,2,1
168,S:M-L:2,0,D,S,,,,,,,19,,2,2,1
169,L:M-C:2,0,A,L,,,8,,,,,,0,2,1
169,L:M-C:2,0,B,L,,,5,,,,,,0,2,1
169,L:M-C:2,0,C,L,,,7,,,,,,0,2,1
169,L:M-C:2,0,D,L,,,9,,,,,,0,2,1
170,L:M-E:4,0,A,L,,,6,,,,,,1,4,1
170,L:M-E:4,0,B,L,,,11,,,,,,1,4,1
170,L:M-E:4,0,C,L,,,6,,,,,,1,4,1
170,L:M-E:4,0,D,L,,,4,,,,,,1,4,1
171,T:M-E:4,0,A,T,,,,15,,,,,1,4,1
171,T:M-E:4,0,B,T,,,,17,,,,,1,4,1
171,T:M-E:4,0,C,T,,,,10,,,,,1,4,1
171,T:M-E:4,0,D,T,,,,16,,,,,1,4,1
172,R:M-L:1,0,A,R,,,,,188,,,,2,1,1
172,R:M-L:1,0,B,R,,,,,60,,,,2,1,1
172,R:M-L:1,0,C,R,,,,,159,,,,2,1,1
172,R:M-L:1,0,D,R,,,,,282,,,,2,1,1
173,L:D-C:5,1,A,L,,,0,2,0,0,0,,0,5,1
173,L:D-C:5,1,B,L,29,51,4,1,2,2,0,,0,5,1
173,L:D-C:5,1,C,L,36,36,0,0,2,0,0,,0,5,1
173,L:D-C:5,1,D,L,,,0,0,0,0,0,,0,5,1
174,S:D-L:4,1,A,S,14,29,1,2,0,6,1,,2,4,1
174,S:D-L:4,1,B,S,,,0,4,0,1,0,,2,4,1
174,S:D-L:4,1,C,S,,,1,1,0,0,0,,2,4,1
174,S:D-L:4,1,D,S,31,68,1,0,3,0,0,,2,4,1
175,B:M-L:1,0,A,B,,291,,,,,,,2,1,1
175,B:M-L:1,0,B,B,,,,,,,,,2,1,1
175,B:M-L:1,0,C,B,,,,,,,,,2,1,1
175,B:M-L:1,0,D,B,,192,,,,,,,2,1,1
176,B:M-L:2,0,A,B,,95,,,,,,,2,2,1
176,B:M-L:2,0,B,B,,,,,,,,,2,2,1
176,B:M-L:2,0,C,B,,,,,,,,,2,2,1
176,B:M-L:2,0,D,B,,93,,,,,,,2,2,1
177,O:M-L:3,0,A,O,,,,,,60,,,2,3,1
177,O:M-L:3,0,B,O,,,,,,62,,,2,3,1
177,O:M-L:3,0,C,O,,,,,,98,,,2,3,1
177,O:M-L:3,0,D,O,,,,,,56,,,2,3,1
178,T:M-L:4,0,A,T,,,,6,,,,,2,4,1
178,T:M-L:4,0,B,T,,,,7,,,,,2,4,1
178,T:M-L:4,0,C,T,,,,5,,,,,2,4,1
178,T:M-L:4,0,D,T,,,,9,,,,,2,4,1
179,R:D-E:4,1,A,R,,,0,0,13,56,3,,1,4,1
179,R:D-E:4,1,B,R,11,91,0,0,5,16,6,,1,4,1
179,R:D-E:4,1,C,R,10,94,1,0,24,12,4,,1,4,1
179,R:D-E:4,1,D,R,,,0,0,6,4,2,,1,4,1
180,L:D-E:2,1,A,L,37,48,0,1,0,0,0,,1,2,1
180,L:D-E:2,1,B,L,,,1,1,0,21,0,,1,2,1
180,L:D-E:2,1,C,L,,,0,0,0,0,0,,1,2,1
180,L:D-E:2,1,D,L,35,46,0,1,3,2,0,,1,2,1
181,L:D-L:5,1,A,L,,,0,0,0,1,0,,2,5,1
181,L:D-L:5,1,B,L,13,26,1,0,1,8,26,,2,5,1
181,L:D-L:5,1,C,L,17,16,5,0,1,1,34,,2,5,1
181,L:D-L:5,1,D,L,,,4,0,1,2,27,,2,5,1
182,L:M-C:3,0,A,L,,,4,,,,,,0,3,1
182,L:M-C:3,0,B,L,,,2,,,,,,0,3,1
182,L:M-C:3,0,C,L,,,5,,,,,,0,3,1
182,L:M-C:3,0,D,L,,,2,,,,,,0,3,1
183,R:M-E:4,0,A,R,,,,,325,,,,1,4,1
183,R:M-E:4,0,B,R,,,,,255,,,,1,4,1
183,R:M-E:4,0,C,R,,,,,329,,,,1,4,1
183,R:M-E:4,0,D,R,,,,,275,,,,1,4,1
184,T:M-E:1,0,A,T,,,,12,,,,,1,1,1
184,T:M-E:1,0,B,T,,,,16,,,,,1,1,1
184,T:M-E:1,0,C,T,,,,13,,,,,1,1,1
184,T:M-E:1,0,D,T,,,,16,,,,,1,1,1
185,H:M-C:4,0,A,H,35,,,,,,,,0,4,1
185,H:M-C:4,0,B,H,26,,,,,,,,0,4,1
185,H:M-C:4,0,C,H,18,,,,,,,,0,4,1
185,H:M-C:4,0,D,H,28,,,,,,,,0,4,1
186,S:M-E:1,0,A,S,,,,,,,22,,1,1,1
186,S:M-E:1,0,B,S,,,,,,,28,,1,1,1
186,S:M-E:1,0,C,S,,,,,,,18,,1,1,1
186,S:M-E:1,0,D,S,,,,,,,13,,1,1,1
187,T:D-E:3,1,A,T,66,37,0,0,0,0,0,,1,3,1
187,T:D-E:3,1,B,T,,,0,0,0,0,0,,1,3,1
187,T:D-E:3,1,C,T,,,0,0,0,0,0,,1,3,1
187,T:D-E:3,1,D,T,39,58,0,2,0,0,3,,1,3,1
188,O:M-L:5,0,A,O,,,,,,133,,,2,5,1
188,O:M-L:5,0,B,O,,,,,,82,,,2,5,1
188,O:M-L:5,0,C,O,,,,,,89,,,2,5,1
188,O:M-L:5,0,D,O,,,,,,76,,,2,5,1
189,L:M-C:4,0,A,L,,,7,,,,,,0,4,1
189,L:M-C:4,0,B,L,,,4,,,,,,0,4,1
189,L:M-C:4,0,C,L,,,6,,,,,,0,4,1
189,L:M-C:4,0,D,L,,,7,,,,,,0,4,1
190,H:D-E:3,1,A,H,48,45,0,0,0,1,0,,1,3,1
190,H:D-E:3,1,B,H,,,0,0,0,0,1,,1,3,1
190,H:D-E:3,1,C,H,,,0,0,0,0,0,,1,3,1
190,H:D-E:3,1,D,H,44,13,0,0,0,5,1,,1,3,1
191,B:D-L:2,1,A,B,18,66,0,0,0,0,3,,2,2,1
191,B:D-L:2,1,B,B,,,0,0,1,2,3,,2,2,1
191,B:D-L:2,1,C,B,,,0,0,0,0,0,,2,2,1
191,B:D-L:2,1,D,B,34,84,0,0,0,0,0,,2,2,1
192,T:D-L:1,1,A,T,25,0,0,0,0,0,0,,2,1,1
192,T:D-L:1,1,B,T,,,0,0,0,0,0,,2,1,1
192,T:D-L:1,1,C,T,,,0,0,0,0,0,,2,1,1
192,T:D-L:1,1,D,T,15,17,6,0,0,0,0,,2,1,1
193,B:M-L:4,0,A,B,,312,,,,,,,2,4,1
193,B:M-L:4,0,B,B,,,,,,,,,2,4,1
193,B:M-L:4,0,C,B,,,,,,,,,2,4,1
193,B:M-L:4,0,D,B,,280,,,,,,,2,4,1
194,R:M-L:2,0,A,R,,,,,206,,,,2,2,1
194,R:M-L:2,0,B,R,,,,,179,,,,2,2,1
194,R:M-L:2,0,C,R,,,,,244,,,,2,2,1
194,R:M-L:2,0,D,R,,,,,370,,,,2,2,1
195,O:D-E:2,1,A,O,,,0,10,4,8,1,,1,2,1
195,O:D-E:2,1,B,O,18,19,0,5,7,11,1,,1,2,1
195,O:D-E:2,1,C,O,33,74,0,3,1,13,0,,1,2,1
195,O:D-E:2,1,D,O,,,0,1,0,11,1,,1,2,1
196,S:D-L:1,1,A,S,10,45,1,0,19,5,4,,2,1,1
196,S:D-L:1,1,B,S,,,0,0,12,4,0,,2,1,1
196,S:D-L:1,1,C,S,,,2,0,13,5,2,,2,1,1
196,S:D-L:1,1,D,S,20,34,1,0,10,4,21,,2,1,1
197,L:D-C:2,1,A,L,,,2,2,6,16,3,,0,2,1
197,L:D-C:2,1,B,L,16,51,1,1,1,19,4,,0,2,1
197,L:D-C:2,1,C,L,12,55,0,0,1,6,16,,0,2,1
197,L:D-C:2,1,D,L,,,0,0,2,6,10,,0,2,1
198,H:M-L:2,0,A,H,25,,,,,,,,2,2,1
198,H:M-L:2,0,B,H,29,,,,,,,,2,2,1
198,H:M-L:2,0,C,H,28,,,,,,,,2,2,1
198,H:M-L:2,0,D,H,26,,,,,,,,2,2,1
199,H:M-L:3,0,A,H,38,,,,,,,,2,3,1
199,H:M-L:3,0,B,H,41,,,,,,,,2,3,1
199,H:M-L:3,0,C,H,45,,,,,,,,2,3,1
199,H:M-L:3,0,D,H,37,,,,,,,,2,3,1
200,R:D-E:3,1,A,R,3,33,0,0,109,0,0,,1,3,1
200,R:D-E:3,1,B,R,,,4,2,57,0,6,,1,3,1
200,R:D-E:3,1,C,R,,,0,0,196,1,0,,1,3,1
200,R:D-E:3,1,D,R,7,39,1,1,69,6,19,,1,3,1
201,T:D-L:2,1,A,T,,,0,2,1,1,1,,2,2,1
201,T:D-L:2,1,B,T,13,13,0,0,1,0,0,,2,2,1
201,T:D-L:2,1,C,T,18,38,0,8,0,1,3,,2,2,1
201,T:D-L:2,1,D,T,,,0,0,1,0,0,,2,2,1
202,O:D-C:1,1,A,O,19,32,0,2,3,4,1,,0,1,1
202,O:D-C:1,1,B,O,,,1,0,3,9,5,,0,1,1
202,O:D-C:1,1,C,O,,,0,0,0,6,6,,0,1,1
202,O:D-C:1,1,D,O,17,9,0,3,1,6,4,,0,1,1
203,T:M-C:4,0,A,T,,,,10,,,,,0,4,1
203,T:M-C:4,0,B,T,,,,16,,,,,0,4,1
203,T:M-C:4,0,C,T,,,,12,,,,,0,4,1
203,T:M-C:4,0,D,T,,,,11,,,,,0,4,1
204,B:D-C:3,1,A,B,47,55,0,1,0,0,1,,0,3,1
204,B:D-C:3,1,B,B,39,29,0,0,0,0,1,,0,3,1
204,B:D-C:3,1,C,B,20,61,0,0,0,0,0,,0,3,1
204,B:D-C:3,1,D,B,40,50,0,0,0,0,1,,0,3,1
205,T:M-C:2,0,A,T,,,,11,,,,,0,2,1
205,T:M-C:2,0,B,T,,,,9,,,,,0,2,1
205,T:M-C:2,0,C,T,,,,8,,,,,0,2,1
205,T:M-C:2,0,D,T,,,,12,,,,,0,2,1
206,O:D-C:4,1,A,O,19,12,0,0,0,0,0,,0,4,1
206,O:D-C:4,1,B,O,35,25,0,0,0,1,4,,0,4,1
